market_id,direction,y,smart_share,dumb_share,classified_share,smart_net_yes,dumb_net_yes
2410595,below,0,0.11125691209857717,0.2677096146640666,0.871510495070651,4426.717500000005,32746.992299999987
2410596,below,0,0.13761123286629767,0.0831023695920466,0.795066849138574,21590.2327,14175.7577
2410597,below,0,0.09544781779597257,0.045293164843264795,0.6901328198661525,13539.2098,614.9937
2410598,below,0,0.16608233525733015,0.15113029591635177,0.8721579655831108,12176.232399999999,11085.3481
2410599,below,0,0.0001607762828501616,0.10586797503639508,0.8499609685417615,15.173000000000002,12670.2047
2420093,above,0,0.03465155829546921,0.09924327268793391,0.4169467008746612,-57203.478399999985,19905.6582
2420111,above,0,0.004685047436665223,0.31805273707530735,0.5695583140191026,-7648.195600000002,37104.044200000004
2436557,above,0,0.07894379614942985,0.11891509441550166,0.45120728671324034,-18198.750500000002,25848.5254
2436558,above,1,0.11234268426765637,0.20785526768153362,0.5765431501835898,2888.2088000000017,22561.121900000002
2682317,above,0,0.0061347491027769745,0.32855736323850954,0.49109234874102314,-1118.8805999999997,24708.1212
2682318,above,0,0.052252886669453234,0.02179045504799855,0.13839545426265804,-18586.6516,-255.98060000000004
