thr,s_ema,s_in,s_out,l_ema,l_in,l_out,avg_ret,avg_trades,neg_coins,total_coins,total_liqs,avg_sharpe,avg_mdd
10,4,0.3,1.5,3,1.0,1.0,254.9209,103.0,1,13,0,1.5151,43.5968
12,4,0.5,1.5,5,0.5,0.5,253.7234,101.4615,2,13,0,1.5984,38.8873
10,4,0.3,1.5,5,0.5,0.5,252.6717,114.2308,1,13,0,1.6054,41.8222
10,4,0.5,1.5,5,1.0,1.0,252.5137,101.7692,2,13,0,1.4928,40.1143
10,4,0.3,1.0,3,1.0,0.5,251.5867,199.9231,0,13,0,1.5843,40.4206
12,4,0.5,1.5,3,1.0,0.5,251.2595,97.6923,2,13,0,1.5823,39.3746
12,4,0.5,1.5,5,1.0,0.5,249.0324,99.6154,2,13,0,1.5966,38.5196
10,4,0.5,1.5,8,1.0,1.0,248.153,103.3077,2,13,0,1.5074,40.6689
10,4,0.5,1.5,3,0.5,0.5,247.1283,108.3077,2,13,0,1.5282,40.8948
12,4,0.5,1.5,8,0.5,1.0,246.5841,99.9231,2,13,0,1.5714,39.3177
12,4,0.3,1.5,3,0.5,1.0,245.8782,103.3846,0,13,0,1.5722,42.904
12,4,0.5,1.5,8,1.0,1.0,245.2539,99.0769,2,13,0,1.5862,39.2067
10,4,0.5,1.5,5,1.0,0.5,242.8536,104.9231,2,13,0,1.5441,39.5597
10,4,0.5,1.5,8,0.5,0.5,242.7604,109.4615,2,13,0,1.52,40.8386
12,4,0.5,1.5,3,0.5,0.5,242.7383,101.1538,2,13,0,1.5683,39.7498
12,4,0.5,1.5,5,1.0,1.0,240.3019,98.8462,2,13,0,1.5436,39.2696
10,4,0.5,1.5,3,1.0,1.0,237.4692,98.2308,2,13,0,1.4349,42.3174
12,4,0.5,1.5,3,1.0,1.0,235.6669,97.3077,1,13,0,1.5128,40.7857
12,4,0.3,1.0,8,1.0,0.5,234.9251,202.9231,0,13,0,1.6301,38.1202
10,4,0.3,1.0,5,1.0,1.0,234.742,202.0769,1,13,0,1.4722,40.2506
8,4,0.3,1.5,3,1.0,0.5,234.0544,106.3077,1,13,0,1.5592,42.8746
10,4,0.3,0.75,3,1.0,0.5,233.6121,281.6923,1,13,0,1.5984,40.3918
12,4,0.3,1.0,8,0.5,0.5,232.9524,204.9231,0,13,0,1.6155,38.6933
10,4,0.5,1.5,8,0.5,1.0,232.6428,105.6154,2,13,0,1.4652,41.5145
10,6,0.3,1.5,3,1.0,0.5,231.2762,143.6923,1,13,0,1.5514,39.4712
12,4,0.3,1.0,5,1.0,0.5,231.2579,202.0,0,13,0,1.6223,38.0962
12,4,0.3,1.0,3,1.0,0.5,230.895,200.2308,0,13,0,1.6161,39.0825
10,4,0.3,1.0,8,1.0,0.5,229.4439,208.4615,0,13,0,1.5375,40.2649
12,4,0.5,1.5,3,0.5,1.0,228.671,99.2308,2,13,0,1.4561,41.5996
12,4,0.3,1.0,5,0.5,0.5,227.8124,205.6154,0,13,0,1.5954,38.9342
10,4,0.5,1.5,5,0.5,0.5,227.6556,111.0769,2,13,0,1.4909,40.8692
10,6,0.5,1.5,3,1.0,0.5,227.2903,138.0,1,13,0,1.5198,36.3948
10,4,0.5,1.5,5,0.5,1.0,226.8724,105.0769,2,13,0,1.4164,40.3587
8,4,0.3,1.5,8,1.0,0.5,226.8249,113.0769,2,13,0,1.5514,42.9973
12,4,0.3,0.75,8,0.5,0.5,225.9555,291.1538,0,13,0,1.639,38.2806
10,4,0.3,1.0,8,1.0,1.0,225.6982,204.6923,0,13,0,1.4845,40.5548
12,4,0.3,1.0,5,1.0,1.0,224.9635,201.0,0,13,0,1.5679,38.8069
8,4,0.3,1.5,8,0.5,0.5,223.4386,116.5385,2,13,0,1.5396,43.6598
12,4,0.3,0.75,8,1.0,0.5,223.3775,288.4615,0,13,0,1.6512,38.1321
10,4,0.3,1.0,3,0.5,0.5,223.3647,211.5385,1,13,0,1.4864,41.8454
10,4,0.3,1.0,5,1.0,0.5,223.1508,206.3846,0,13,0,1.5466,40.1786
10,6,0.3,1.5,8,1.0,0.5,222.7886,150.8462,1,13,0,1.5158,38.8815
10,4,0.3,1.0,8,0.5,0.5,222.4737,214.0769,1,13,0,1.4923,40.9974
8,4,0.3,1.5,5,1.0,1.0,222.0703,108.0769,2,13,0,1.5138,42.4496
10,4,0.3,1.0,8,0.5,1.0,222.0233,207.6923,1,13,0,1.4325,41.6584
12,4,0.3,0.75,3,1.0,0.5,222.0008,285.2308,0,13,0,1.6443,38.8148
12,4,0.3,1.0,5,0.5,1.0,221.949,203.0769,0,13,0,1.512,39.9628
12,6,0.3,1.5,8,1.0,0.5,221.9247,144.6154,1,13,0,1.5636,37.9975
10,4,1.0,1.5,3,1.0,0.5,221.717,85.3077,2,13,0,1.4384,33.8537
10,8,0.3,1.0,3,1.0,0.5,221.5188,238.0769,0,13,0,1.6682,34.1578
8,4,0.5,1.5,3,1.0,0.5,221.2676,101.5385,2,13,0,1.4789,41.0111
12,4,0.3,0.75,5,0.5,0.5,221.0538,291.3846,0,13,0,1.6258,38.6223
12,4,0.3,1.0,8,1.0,1.0,220.6156,202.0769,0,13,0,1.5825,38.9454
12,4,0.3,1.0,3,0.5,0.5,219.922,204.3077,0,13,0,1.561,39.8777
12,4,0.3,1.0,3,1.0,1.0,219.3108,199.4615,0,13,0,1.5561,40.4077
12,6,0.3,1.5,8,0.5,0.5,219.2071,146.5385,1,13,0,1.5445,38.2734
8,4,0.3,1.5,3,0.5,0.5,219.05,116.2308,2,13,0,1.5091,44.1366
12,4,0.3,0.75,5,1.0,0.5,218.4317,287.7692,0,13,0,1.6341,37.9202
12,4,0.3,1.0,8,0.5,1.0,217.6257,203.3846,0,13,0,1.5569,39.8447
10,6,0.3,1.0,3,1.0,0.5,217.295,237.0769,1,13,0,1.5641,40.0662
12,6,0.5,1.5,8,1.0,0.5,217.1942,139.1538,1,13,0,1.5293,35.7392
10,4,0.3,1.0,5,0.5,1.0,217.1011,206.1538,1,13,0,1.3617,41.9747
12,6,0.5,1.5,8,0.5,0.5,216.5232,141.1538,1,13,0,1.5182,35.5207
10,6,0.5,1.5,8,1.0,0.5,216.2318,146.3846,2,13,0,1.4679,37.0756
8,4,0.3,1.5,5,1.0,0.5,216.0816,112.0769,2,13,0,1.5331,42.861
12,6,0.3,1.5,5,0.5,0.5,216.0138,147.0,1,13,0,1.5341,38.5754
12,4,0.3,0.75,5,0.5,1.0,215.9291,288.0,1,13,0,1.5118,39.8732
12,6,0.3,1.5,3,1.0,0.5,215.293,142.4615,1,13,0,1.5378,38.6038
10,4,0.5,1.0,3,1.0,0.5,215.1083,184.7692,1,13,0,1.4542,38.1873
12,4,1.0,1.5,8,1.0,0.5,214.7741,84.6923,1,13,0,1.4888,32.8305
12,6,0.3,1.5,5,1.0,0.5,214.526,144.2308,1,13,0,1.5462,38.091
10,4,0.3,0.75,8,1.0,0.5,214.0709,291.4615,1,13,0,1.5319,40.6472
12,4,0.3,0.75,8,0.5,1.0,213.726,288.8462,0,13,0,1.5704,39.4754
10,6,0.3,1.5,3,0.5,0.5,213.3246,153.6154,1,13,0,1.4803,40.1041
10,4,0.3,0.75,5,1.0,1.0,213.0802,283.7692,1,13,0,1.4468,40.112
10,6,0.3,1.5,5,1.0,1.0,212.9369,145.6923,1,13,0,1.4484,38.7291
10,4,0.3,0.75,3,0.5,0.5,212.3298,294.6923,1,13,0,1.4878,41.7707
12,6,0.5,1.5,5,0.5,0.5,212.0184,141.6923,1,13,0,1.4982,36.2297
12,6,0.5,1.5,3,1.0,0.5,211.8812,136.6923,1,13,0,1.5043,36.4231
10,6,0.3,1.5,8,0.5,0.5,211.5977,156.2308,1,13,0,1.4713,39.8851
10,6,0.3,1.5,5,1.0,0.5,211.4607,149.3846,1,13,0,1.5074,38.596
10,6,0.5,1.5,3,0.5,0.5,211.3208,149.2308,2,13,0,1.445,37.5077
10,4,0.3,0.75,8,0.5,1.0,211.0394,291.3846,1,13,0,1.357,42.7619
12,4,0.3,0.75,3,1.0,1.0,210.9543,284.3077,0,13,0,1.5737,39.854
12,8,0.3,1.0,8,1.0,0.5,210.7662,244.6923,0,13,0,1.654,33.7033
10,4,0.3,0.75,5,1.0,0.5,210.763,289.0769,1,13,0,1.556,39.9674
12,4,1.0,1.5,8,0.5,0.5,210.5582,87.2308,1,13,0,1.4646,33.0501
12,8,0.3,1.0,3,1.0,0.5,210.5396,240.9231,0,13,0,1.6555,33.4677
12,8,0.3,1.0,8,0.5,0.5,210.5332,247.2308,0,13,0,1.6433,33.8305
12,6,0.5,1.5,5,1.0,0.5,210.5159,138.6923,1,13,0,1.5084,36.0692
10,6,0.3,1.5,8,1.0,1.0,210.493,147.8462,1,13,0,1.4516,38.9575
10,6,0.5,1.0,3,1.0,0.5,210.2726,220.0769,2,13,0,1.5356,36.4782
12,4,1.0,1.5,3,1.0,0.5,210.2693,81.6923,1,13,0,1.4455,33.4278
12,8,0.5,1.5,8,0.5,0.5,210.2249,156.9231,1,13,0,1.5856,33.29
10,4,0.3,0.75,8,0.5,0.5,209.8834,299.6923,1,13,0,1.4569,41.7069
10,4,0.3,0.75,5,0.5,1.0,209.6317,288.6154,2,13,0,1.31,41.7802
12,4,0.3,0.75,8,1.0,1.0,209.59,287.1538,0,13,0,1.5861,39.2653
10,4,0.3,0.75,8,1.0,1.0,208.9577,286.8462,1,13,0,1.4495,40.9039
10,8,0.3,1.5,3,1.0,0.5,208.8721,160.9231,1,13,0,1.5587,36.8666
12,6,0.3,1.5,3,0.5,0.5,208.7678,146.1538,1,13,0,1.5155,39.3365
10,6,0.5,1.5,5,1.0,0.5,208.4172,144.4615,2,13,0,1.471,36.2324
10,8,0.5,1.5,3,1.0,0.5,208.0614,152.7692,1,13,0,1.5921,34.3014
10,4,1.0,1.5,8,1.0,0.5,207.8922,93.8462,2,13,0,1.3854,34.9895
12,4,0.3,0.75,3,0.5,0.5,207.5096,290.1538,1,13,0,1.5639,39.9473
8,4,0.5,1.5,8,1.0,0.5,207.3762,109.3077,2,13,0,1.4442,41.8773
10,4,0.3,1.0,3,1.0,1.0,207.3187,197.1538,2,13,0,1.3813,43.6102
12,6,0.3,1.5,5,0.5,1.0,207.2841,145.0769,1,13,0,1.4663,39.0616
12,8,0.3,1.0,5,0.5,0.5,207.2765,247.5385,0,13,0,1.6294,34.179
8,4,0.3,1.5,8,1.0,1.0,207.0949,110.4615,2,13,0,1.4899,43.9472
12,8,0.5,1.5,8,1.0,0.5,206.999,154.6923,1,13,0,1.5921,33.2818
12,6,0.3,1.5,5,1.0,1.0,206.4638,143.3846,1,13,0,1.4992,38.9839
10,6,0.5,1.5,8,0.5,0.5,206.1132,152.3846,2,13,0,1.4195,37.9973
12,8,0.5,1.0,8,1.0,0.5,206.0882,225.6923,0,13,0,1.6819,30.8532
12,4,0.3,0.75,5,1.0,1.0,206.049,286.1538,1,13,0,1.5317,39.234
8,4,0.3,1.5,8,0.5,1.0,205.9958,112.3846,2,13,0,1.4911,43.9712
12,4,1.0,1.5,5,0.5,0.5,205.4029,87.9231,1,13,0,1.4343,33.3859
10,4,0.3,1.0,5,0.5,0.5,205.3659,215.3077,1,13,0,1.4695,41.0699
12,8,0.5,1.0,8,0.5,0.5,205.3558,228.3846,0,13,0,1.6692,30.9369
8,4,0.3,1.5,5,0.5,0.5,204.9581,118.4615,2,13,0,1.4975,44.1318
12,6,0.3,1.5,8,1.0,1.0,204.9305,144.0769,1,13,0,1.5063,38.7556
12,8,0.5,1.5,3,1.0,0.5,204.8362,151.3846,1,13,0,1.5868,33.6102
12,4,1.0,1.5,5,1.0,0.5,204.5138,84.5385,1,13,0,1.4522,32.7126
10,6,0.5,1.5,5,1.0,1.0,204.4074,140.6923,2,13,0,1.3988,36.8798
12,8,0.5,1.5,5,0.5,0.5,204.2966,157.4615,1,13,0,1.5609,33.9739
12,6,0.5,1.5,3,0.5,0.5,204.2014,140.7692,1,13,0,1.474,37.0533
10,4,1.0,1.0,3,1.0,0.5,203.9459,133.5385,2,13,0,1.386,30.7756
12,6,0.3,1.5,3,1.0,1.0,203.9335,141.6923,1,13,0,1.4835,39.7453
10,8,0.3,1.0,8,1.0,0.5,203.8019,248.4615,0,13,0,1.5962,35.1889
10,4,1.0,1.5,3,1.0,1.0,203.7745,83.5385,4,13,0,1.2941,36.0538
12,8,0.3,1.0,5,1.0,0.5,203.5713,243.8462,0,13,0,1.6396,33.0138
12,6,0.3,1.0,8,0.5,0.5,203.5281,245.5385,1,13,0,1.5528,38.7751
12,8,0.5,1.0,3,1.0,0.5,203.4251,222.0,0,13,0,1.676,30.7929
12,6,0.3,1.0,8,1.0,0.5,203.3912,243.0,1,13,0,1.5624,38.7565
8,4,0.5,1.5,5,1.0,0.5,203.3782,107.8462,2,13,0,1.4452,41.0274
12,6,0.3,1.0,3,1.0,0.5,202.9704,239.5385,0,13,0,1.5645,38.8963
10,6,0.5,1.5,8,1.0,1.0,202.8819,143.1538,2,13,0,1.4099,36.8444
10,4,1.0,1.5,8,0.5,0.5,202.7229,100.0,3,13,0,1.3593,35.6168
8,4,0.5,1.5,5,1.0,1.0,202.6778,103.7692,2,13,0,1.4024,40.7673
8,4,0.5,1.5,8,0.5,0.5,202.6278,113.5385,2,13,0,1.4253,42.5871
8,4,0.3,1.5,3,1.0,1.0,202.4798,103.4615,1,13,0,1.4212,44.0691
10,8,0.3,1.0,5,1.0,0.5,202.4253,245.8462,0,13,0,1.6154,34.5027
12,6,0.5,1.5,5,0.5,1.0,202.2455,139.6923,1,13,0,1.4197,36.8363
12,8,0.5,1.5,5,1.0,0.5,202.2272,153.8462,1,13,0,1.5835,32.8559
10,4,0.3,1.5,3,0.5,1.0,202.1654,106.6923,2,13,0,1.3632,45.4648
12,8,0.3,1.0,3,1.0,1.0,202.1499,239.9231,0,13,0,1.5876,34.5307
10,4,1.0,1.5,5,1.0,1.0,201.7062,89.0,3,13,0,1.282,35.4023
12,8,0.5,1.0,5,0.5,0.5,201.6486,228.6154,0,13,0,1.6545,31.1231
10,4,0.5,1.0,5,1.0,1.0,201.5521,187.3077,2,13,0,1.3368,38.7755
12,4,0.5,1.0,8,0.5,0.5,201.2587,190.1538,1,13,0,1.4636,37.328
8,4,0.5,1.5,3,0.5,0.5,200.4402,112.5385,2,13,0,1.4067,42.5637
12,6,0.3,1.0,5,0.5,0.5,200.3454,245.7692,0,13,0,1.5438,38.9615
10,6,0.3,1.0,8,1.0,0.5,200.0954,246.9231,1,13,0,1.5015,40.6404
12,4,0.5,1.0,3,1.0,0.5,199.9998,184.6923,1,13,0,1.4709,37.731
10,8,0.5,1.0,3,1.0,0.5,199.9146,221.2308,0,13,0,1.643,31.9434
10,4,1.0,1.5,3,0.5,0.5,199.8687,97.2308,3,13,0,1.3543,35.4214
12,6,0.3,1.5,8,0.5,1.0,199.8146,145.3077,1,13,0,1.4731,39.1708
12,8,0.3,1.0,8,0.5,1.0,199.7179,244.4615,0,13,0,1.5961,34.3041
10,4,1.0,1.5,8,1.0,1.0,199.6919,91.0769,3,13,0,1.3046,35.9068
12,4,0.5,1.0,8,1.0,0.5,199.4992,187.8462,1,13,0,1.4754,37.5336
10,8,0.3,1.0,5,1.0,1.0,199.3412,240.6154,0,13,0,1.49,35.1321
12,8,0.3,1.0,5,0.5,1.0,199.0865,244.0769,0,13,0,1.5229,35.3459
8,4,0.3,1.5,5,0.5,1.0,199.0215,111.6154,2,13,0,1.443,44.352
12,4,1.0,1.5,5,0.5,1.0,198.9709,85.7692,2,13,0,1.3377,34.2144
12,6,0.5,1.5,8,1.0,1.0,198.7568,138.6154,1,13,0,1.467,36.6306
10,8,0.3,1.0,8,1.0,1.0,198.5659,243.5385,0,13,0,1.5226,35.2537
10,6,0.3,1.5,5,0.5,0.5,198.4355,157.3077,1,13,0,1.4403,40.0232
12,4,1.0,1.5,8,1.0,1.0,198.3413,84.3846,1,13,0,1.4192,33.9587
10,8,0.3,1.0,3,0.5,0.5,198.1648,251.6154,0,13,0,1.5468,35.2898
12,8,0.5,1.0,5,1.0,0.5,198.0049,225.0769,0,13,0,1.6596,30.7222
10,6,0.3,1.5,8,0.5,1.0,197.9238,150.7692,1,13,0,1.3969,40.4865
12,6,0.5,1.5,5,1.0,1.0,197.9094,137.8462,1,13,0,1.4483,36.7722
12,4,0.5,1.0,5,0.5,0.5,197.7832,190.6154,1,13,0,1.4459,37.4861
12,8,0.3,1.0,8,1.0,1.0,197.6612,243.0769,0,13,0,1.6078,34.3573
12,6,0.5,1.5,3,1.0,1.0,197.4466,135.9231,1,13,0,1.4465,37.2841
12,6,0.5,1.5,8,0.5,1.0,197.4127,140.0,1,13,0,1.4427,36.4354
12,6,0.3,1.0,5,1.0,0.5,197.3887,242.1538,1,13,0,1.5527,38.2324
10,6,0.3,1.0,5,1.0,1.0,197.3262,239.4615,1,13,0,1.4054,40.1286
12,4,0.5,1.0,5,1.0,0.5,197.2687,186.8462,1,13,0,1.4679,36.9632
12,4,1.0,1.5,8,0.5,1.0,196.7481,86.0,3,13,0,1.386,33.9939
12,8,0.5,1.5,5,0.5,1.0,196.613,154.8462,1,13,0,1.4628,34.7467
12,4,1.0,1.5,3,1.0,1.0,196.5997,81.3077,1,13,0,1.3767,34.2779
12,8,0.5,1.5,8,0.5,1.0,196.4073,155.2308,1,13,0,1.5218,34.3827
12,8,0.5,1.5,3,0.5,0.5,196.1456,156.0769,1,13,0,1.5296,34.5045
12,8,0.5,1.0,5,0.5,1.0,195.9089,225.1538,0,13,0,1.5552,31.7744
10,4,0.5,1.0,8,1.0,0.5,195.8853,194.0769,1,13,0,1.3963,38.8672
10,6,0.3,1.0,5,1.0,0.5,195.8181,244.4615,1,13,0,1.5206,39.9291
12,4,0.5,1.0,5,0.5,1.0,195.8091,188.3846,2,13,0,1.3489,38.7666
10,4,0.3,0.75,3,1.0,1.0,195.7435,277.6154,2,13,0,1.3869,42.8575
12,8,0.5,1.0,3,1.0,1.0,195.6382,221.0769,0,13,0,1.6067,31.4406
12,8,0.5,1.5,3,1.0,1.0,195.536,150.5385,1,13,0,1.533,34.4046
12,6,0.5,1.0,8,0.5,0.5,195.2609,227.8462,1,13,0,1.5343,36.1126
12,8,0.3,1.5,3,1.0,0.5,195.2482,160.4615,1,13,0,1.5208,37.1633
12,8,0.3,1.5,8,1.0,0.5,195.1615,163.6154,1,13,0,1.5211,37.0843
10,8,0.3,1.0,8,0.5,0.5,195.1206,257.0769,1,13,0,1.5149,36.5492
10,6,0.3,1.0,8,1.0,1.0,194.8113,242.4615,1,13,0,1.4179,40.7223
10,4,1.0,1.5,8,0.5,1.0,194.8015,94.6154,3,13,0,1.2769,36.8517
10,4,0.3,0.75,5,0.5,0.5,194.6254,300.1538,1,13,0,1.4432,41.8052
10,8,0.5,1.5,8,1.0,0.5,194.5558,162.0769,1,13,0,1.5237,35.2406
12,8,0.5,1.5,8,1.0,1.0,194.3117,153.6923,1,13,0,1.5433,34.0412
12,8,0.3,1.0,3,0.5,0.5,194.273,246.6154,0,13,0,1.5584,34.7761
12,8,0.3,1.5,8,0.5,0.5,194.2,165.6923,1,13,0,1.5083,37.0421
12,4,1.0,1.5,3,0.5,0.5,193.7532,86.9231,1,13,0,1.4037,34.2704
12,8,0.5,1.0,8,1.0,1.0,193.669,224.1538,0,13,0,1.6352,31.1019
10,8,0.5,1.5,5,1.0,0.5,193.6449,159.6154,1,13,0,1.5447,34.5441
10,6,0.3,1.0,8,0.5,0.5,193.5268,254.8462,1,13,0,1.4381,41.064
10,8,0.3,1.5,5,1.0,0.5,193.4405,167.2308,1,13,0,1.5175,37.2278
12,6,0.5,1.0,8,1.0,0.5,193.3804,225.3846,1,13,0,1.5378,36.4388
10,4,1.0,1.5,5,1.0,0.5,193.3634,92.6154,2,13,0,1.3819,34.077
12,6,0.5,1.0,3,1.0,0.5,193.2492,221.7692,1,13,0,1.537,35.8901
10,6,0.5,1.5,5,0.5,0.5,192.9773,153.4615,2,13,0,1.386,38.2579
10,4,0.5,1.0,5,1.0,0.5,192.8517,191.5385,2,13,0,1.4138,37.7953
10,4,0.5,1.0,3,0.5,0.5,192.7933,197.0769,2,13,0,1.368,39.1944
12,4,0.5,1.0,5,1.0,1.0,192.7443,186.0,2,13,0,1.4153,37.5224
12,6,0.3,1.0,3,1.0,1.0,192.5963,238.6154,0,13,0,1.4959,40.0796
10,8,0.3,1.5,8,1.0,0.5,192.4209,169.6923,1,13,0,1.4876,38.0743
12,8,0.5,1.0,8,0.5,1.0,192.3672,225.6923,0,13,0,1.6154,30.9543
12,6,0.5,1.0,5,0.5,0.5,192.3127,228.1538,2,13,0,1.5185,36.5406
10,6,0.5,1.5,8,0.5,1.0,192.2964,146.4615,2,13,0,1.3467,38.3403
10,4,0.5,1.0,8,1.0,1.0,192.2747,190.3846,1,13,0,1.34,38.9111
10,8,0.3,1.5,5,1.0,1.0,192.2567,162.9231,1,13,0,1.4329,37.5505
10,6,0.3,1.5,3,1.0,1.0,192.1324,141.6923,1,13,0,1.3719,41.8445
12,8,0.3,1.0,5,1.0,1.0,191.7906,242.1538,0,13,0,1.545,34.2329
12,8,0.3,1.5,5,1.0,0.5,191.777,162.6923,1,13,0,1.5188,36.6884
12,6,0.3,1.0,5,0.5,1.0,191.6707,242.6923,1,13,0,1.42,40.3547
10,8,0.5,1.5,3,0.5,0.5,190.8884,165.0769,1,13,0,1.5022,35.5836
12,4,0.5,1.0,3,0.5,0.5,190.8241,189.2308,1,13,0,1.4116,38.6543
10,8,0.5,1.5,8,0.5,0.5,190.6889,169.2308,1,13,0,1.4806,36.3216
10,6,0.3,1.0,3,0.5,0.5,190.5715,250.1538,1,13,0,1.4459,41.3146
8,4,0.5,1.5,8,1.0,1.0,190.4016,106.3077,2,13,0,1.3786,42.7606
12,8,0.5,1.5,5,1.0,1.0,190.3638,152.7692,1,13,0,1.5104,33.8724
12,4,1.0,1.5,5,1.0,1.0,190.074,83.8462,2,13,0,1.3521,34.1396
10,8,0.3,1.5,3,0.5,0.5,189.9049,172.4615,1,13,0,1.4651,38.1547
8,6,0.3,1.5,3,1.0,0.5,189.6357,145.6923,1,13,0,1.4366,40.6478
10,6,0.5,1.0,8,1.0,0.5,189.5284,230.6154,1,13,0,1.4524,38.0697
8,4,0.5,1.5,3,1.0,1.0,189.427,98.6923,2,13,0,1.33,43.1967
12,4,0.3,1.0,3,0.5,1.0,189.2683,201.2308,0,13,0,1.3656,42.8863
10,8,0.5,1.5,5,1.0,1.0,189.2559,155.1538,1,13,0,1.4565,34.8838
12,8,0.3,1.5,5,0.5,0.5,189.2273,166.4615,1,13,0,1.4833,37.7704
10,6,0.5,1.5,3,1.0,1.0,188.7875,136.0,3,13,0,1.3456,39.2702
12,6,0.5,1.0,5,0.5,1.0,188.7532,225.0769,2,13,0,1.4067,37.8955
10,8,0.3,1.0,8,0.5,1.0,188.7506,248.3077,2,13,0,1.4324,36.9306
10,8,0.3,1.5,8,0.5,0.5,188.7503,176.3077,1,13,0,1.4483,38.8725
10,6,0.5,1.0,5,1.0,1.0,188.7338,223.0,2,13,0,1.3625,37.5934
10,6,0.3,0.75,3,1.0,0.5,188.547,305.3846,1,13,0,1.4196,39.0838
8,4,0.3,1.0,3,1.0,0.5,188.3449,201.2308,0,13,0,1.4496,42.4617
12,4,1.0,1.0,8,1.0,0.5,188.1841,135.1538,1,13,0,1.3891,30.7586
10,6,0.5,1.0,5,1.0,0.5,188.1651,227.8462,1,13,0,1.4784,36.7583
12,4,0.5,1.0,3,1.0,1.0,188.0922,184.0769,0,13,0,1.4062,38.58
12,6,0.3,1.0,3,0.5,0.5,187.9453,244.6923,1,13,0,1.4801,40.0177
12,8,0.5,1.0,3,0.5,0.5,187.8492,227.6923,0,13,0,1.5828,32.143
12,6,0.3,1.0,8,1.0,1.0,187.6946,241.7692,1,13,0,1.4965,39.7106
8,4,0.5,1.5,5,0.5,0.5,187.3583,115.3846,2,13,0,1.3885,42.7721
10,4,0.5,1.5,3,0.5,1.0,187.0204,102.3846,2,13,0,1.2834,42.2177
12,6,0.5,1.0,5,1.0,0.5,186.9311,224.7692,1,13,0,1.5173,35.9767
10,4,1.0,1.5,5,0.5,1.0,186.7881,93.3077,3,13,0,1.2162,35.8036
10,6,0.3,1.5,5,0.5,1.0,186.7671,149.6923,1,13,0,1.3273,40.7018
12,6,0.3,1.0,8,0.5,1.0,186.6459,243.3077,1,13,0,1.4797,39.7086
10,4,0.5,1.0,8,0.5,0.5,186.4179,200.6154,1,13,0,1.3443,39.505
10,8,0.5,1.0,8,1.0,0.5,186.2187,231.6923,0,13,0,1.5696,32.8867
12,4,1.0,1.0,8,0.5,0.5,186.2024,138.3077,1,13,0,1.358,30.6956
10,6,0.3,1.0,8,0.5,1.0,186.1676,246.7692,1,13,0,1.3473,41.8306
10,4,1.0,1.0,8,1.0,0.5,186.1358,144.2308,1,13,0,1.307,32.0645
12,8,0.5,1.0,5,1.0,1.0,186.0872,223.3077,0,13,0,1.5633,31.0198
10,6,0.5,1.0,3,0.5,0.5,185.8835,233.6154,3,13,0,1.416,38.2193
12,8,0.3,1.5,3,1.0,1.0,185.8645,159.6154,0,13,0,1.4653,38.1359
