thr,s_ema,s_in,s_out,l_ema,l_in,l_out,avg_ret,avg_trades,neg_coins,total_coins,total_liqs,avg_sharpe,avg_mdd
8,4,0.3,0.75,8,1.0,1.0,3579.1213,287.9231,10,13,0,1.277,95.5393
12,8,0.5,1.0,3,1.0,0.5,3569.9836,222.0,7,13,0,1.676,87.7439
8,6,0.5,1.0,8,1.0,1.0,3561.3626,229.3077,9,13,0,1.2369,94.3025
8,6,0.3,1.0,5,0.5,1.0,3558.819,246.8462,10,13,0,1.211,96.3352
10,6,0.5,1.0,8,1.0,0.5,3492.4564,230.6154,7,13,0,1.4524,92.601
10,8,0.3,1.0,3,0.5,1.0,3483.5307,237.2308,10,13,0,1.0216,94.5807
8,6,0.3,1.0,8,1.0,0.5,3471.9307,250.8462,9,13,0,1.3833,95.7737
10,8,0.5,1.0,3,1.0,0.5,3464.8055,221.2308,7,13,0,1.643,89.8102
8,8,0.5,0.75,8,1.0,0.5,3457.556,284.0,10,13,0,1.254,90.3474
12,4,0.5,0.75,3,1.0,0.5,3446.7016,252.8462,8,13,0,1.4998,92.5599
12,8,0.5,1.0,8,0.5,0.5,3397.2074,228.3846,7,13,0,1.6692,88.3957
8,4,0.3,0.75,3,0.5,1.0,3393.6595,274.9231,11,13,0,0.8976,96.6663
10,6,0.3,1.0,5,1.0,1.0,3392.981,239.4615,7,13,0,1.4054,95.3813
8,8,0.5,1.0,5,1.0,0.5,3367.1749,231.3846,7,13,0,1.4835,90.4819
10,6,0.3,1.0,5,1.0,0.5,3361.3099,244.4615,7,13,0,1.5206,94.8527
8,6,0.5,0.75,8,1.0,1.0,3343.2218,281.4615,9,13,0,1.1004,93.4229
12,8,0.5,1.0,3,0.5,0.5,3340.9984,227.6923,7,13,0,1.5828,89.5762
12,8,0.5,1.0,3,1.0,1.0,3320.0773,221.0769,8,13,0,1.6067,88.8397
12,4,0.3,0.75,5,1.0,1.0,3313.4258,286.1538,6,13,0,1.5317,94.8871
12,8,0.5,1.0,8,1.0,1.0,3305.666,224.1538,7,13,0,1.6352,88.4336
12,4,0.5,0.75,8,0.5,0.5,3302.0266,259.0769,8,13,0,1.4953,92.8476
10,4,0.3,0.75,3,0.5,1.0,3294.7632,279.9231,10,13,0,1.0158,96.0938
8,4,0.3,0.75,5,1.0,1.0,3286.0468,282.9231,9,13,0,1.3351,95.6281
12,4,0.5,0.75,3,0.5,0.5,3262.8963,258.3846,8,13,0,1.4063,93.8489
8,8,0.5,1.0,3,0.5,1.0,3253.0381,218.4615,11,13,0,0.9456,95.7555
12,4,0.5,0.75,3,1.0,1.0,3217.3486,252.0769,8,13,0,1.4268,93.5424
12,4,0.5,0.75,8,1.0,1.0,3211.8996,255.6154,8,13,0,1.4275,93.2587
8,4,0.3,0.75,3,1.0,0.5,3204.3793,280.6923,7,13,0,1.4504,95.0817
12,8,0.5,1.0,5,1.0,0.5,3182.0585,225.0769,7,13,0,1.6596,88.5216
10,8,0.5,1.0,3,1.0,1.0,3163.3216,216.8462,9,13,0,1.4416,92.1994
8,4,0.5,0.75,8,1.0,0.5,3119.3931,263.3846,9,13,0,1.2642,94.8457
10,6,0.5,1.0,3,1.0,0.5,3104.2925,220.0769,5,13,0,1.5356,92.3447
12,4,0.5,0.75,5,0.5,1.0,3091.4382,256.5385,7,13,0,1.3569,94.0592
12,4,0.5,0.75,5,1.0,0.5,3071.2172,255.8462,8,13,0,1.4801,93.0206
10,6,0.3,1.0,8,1.0,0.5,3063.0649,246.9231,8,13,0,1.5015,95.0789
12,8,0.3,1.0,3,0.5,1.0,3053.4204,241.6923,9,13,0,1.2783,94.0095
