asset,signal_type,filter_mode,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,sharpe_like,hard_blocked
BTC,FUNDING_EXTREME_LONG,filter_blocked,50,5.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,50,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,50,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,50,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,3.0,2.0,24,15,15,0.6,0.24222718604676027,0.01994322678843227,0.26217041283519255,0.34840292425695524,-6.581635319983825,0.15932153486568537,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,3.0,2.0,24,15,15,0.6,0.24222718604676027,0.01994322678843227,0.26217041283519255,0.34840292425695524,-6.581635319983825,0.15932153486568537,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,4.0,2.5,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,4.0,2.5,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,5.0,2.5,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,5.0,2.5,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,5.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,6.0,3.0,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,6.0,3.0,24,15,15,0.6,0.45784082223633726,0.019407762557077626,0.47724858479341487,0.34840292425695524,-4.358215046944526,0.2982642307732573,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,6.0,3.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,3.0,2.0,48,15,15,0.6,0.6503086089734947,0.024076864535768645,0.6743854735092634,0.516963849012991,-7.104989437637743,0.3100250253315318,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,3.0,2.0,48,15,15,0.6,0.6503086089734947,0.024076864535768645,0.6743854735092634,0.516963849012991,-7.104989437637743,0.3100250253315318,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,3.0,2.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,4.0,2.5,48,15,15,0.6666666666666666,0.8897255107734314,0.025849771689497716,0.9155752824629292,0.516963849012991,-5.005701847071675,0.42525086788609345,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,4.0,2.5,48,15,15,0.6666666666666666,0.8897255107734314,0.025849771689497716,0.9155752824629292,0.516963849012991,-5.005701847071675,0.42525086788609345,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,4.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,5.0,2.5,48,15,15,0.6666666666666666,0.8283804071600565,0.025959436834094365,0.8543398439941509,0.516963849012991,-5.005701847071675,0.41362710729903973,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,5.0,2.5,48,15,15,0.6666666666666666,0.8283804071600565,0.025959436834094365,0.8543398439941509,0.516963849012991,-5.005701847071675,0.41362710729903973,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,5.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,6.0,3.0,48,15,15,0.6666666666666666,0.9006901728660491,0.026062328767123284,0.9267525016331725,0.516963849012991,-3.91951198248635,0.47374485652139414,no
BTC,FUNDING_EXTREME_SHORT,filter_default,10,6.0,3.0,48,15,15,0.6666666666666666,0.9006901728660491,0.026062328767123284,0.9267525016331725,0.516963849012991,-3.91951198248635,0.47374485652139414,no
BTC,FUNDING_EXTREME_SHORT,filter_blocked,10,6.0,3.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_SHORT,filter_off,10,3.0,2.0,72,15,15,0.6,1.1546456315754046,0.02552709284627093,1.1801727244216755,2.389238305060849,-6.0743953332514895,0.4905875594495406,no
