asset,signal_type,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,longest_losing_streak,sharpe_like,first_entry,last_entry
BTC,FUNDING_EXTREME_LONG,5,4,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,5,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,6,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,8,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,1.5,168,29,4,0.75,0.7109349986563068,0.009901726598173516,0.7208367252544804,1.0051036627674348,-1.9960825742148598,1,0.3972251496467925,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,2.5,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,5,10,4,168,29,4,1.0,1.309784271011727,0.014039754566210047,1.323824025577937,1.066405638780901,0.0,0,1.2580431113045658,2026-05-06T00:00:00Z,2026-05-13T15:00:00Z
BTC,FUNDING_EXTREME_LONG,8,3,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,3,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,3,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,4,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,4,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,4,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,5,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,5,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,5,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,6,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,6,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,6,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,8,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,8,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,8,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,10,1.5,12,13,2,0.0,-1.2196324797860647,0.005932802511415525,-1.2136996772746491,-1.2136996772746491,-2.4273993545492982,2,-2.9088160747099328,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,10,2.5,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
BTC,FUNDING_EXTREME_LONG,8,10,4,12,13,2,0.0,-0.5097100109087704,0.009650365296803654,-0.5000596456119668,-0.5000596456119668,-1.0001192912239336,2,-1.6871600620450562,2026-05-06T06:00:00Z,2026-05-12T17:00:00Z
